time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec),velocity(m/s)
1969-12-16T00:31:14.593094,1874.4150943396223,-1.8707951211232103e-09
1970-01-09T02:05:39.144868,7539.018867924528,6.886991807739831e-10
1970-01-09T04:38:54.163736,16734.037735849055,6.542336786543825e-10
1970-01-09T06:56:14.314679,24974.18867924528,6.508952162213171e-10
1970-01-09T10:05:56.956189,36356.83018867925,7.535748836257434e-10
1970-01-09T12:39:48.654302,45588.52830188679,3.945081116990442e-10
1970-01-09T14:22:15.069396,51734.943396226416,6.626476361058245e-10
1970-01-09T16:19:18.314679,58758.188679245286,2.0389182117786303e-10
1970-01-09T21:32:52.503358,77572.37735849057,-1.9061609764159403e-09
1970-02-07T01:35:56.344585,5755.773584905661,1.2354471314123538e-09
1970-02-07T03:29:52.721943,12592.150943396226,-4.50190353678438e-11
1970-02-07T08:19:45.325717,29984.754716981133,1.5193828891942318e-10
1970-02-07T13:43:29.627604,49409.056603773584,5.859829423957815e-10
1970-02-07T18:55:17.552132,68116.98113207547,3.820222171883396e-09
1970-02-18T01:44:33.658434,6273.509433962264,1.3509988367623315e-09
1970-02-18T12:27:46.111264,44865.96226415094,-2.8820646310427493e-09
1970-02-18T14:42:06.941453,52926.79245283019,-2.9106971662536803e-09
1970-03-14T00:27:06.935094,1626.4150943396226,6.869796368004956e-10
1970-03-14T02:09:04.218113,7743.698113207547,-7.386399954842683e-10
1970-03-14T05:31:37.878491,19897.35849056604,2.74516511528344e-10
1970-03-14T08:05:57.199245,29156.67924528302,1.2462952391911378e-10
1970-03-14T10:22:36.897358,37356.377358490565,-2.2976394949042198e-10
1970-03-14T12:16:24.821887,44184.301886792455,-8.356205854642966e-10
1970-03-14T14:05:31.991698,50731.47169811321,-3.6069755205585825e-10
1970-03-14T15:51:05.878491,57065.35849056604,2.632848018003076e-10
1970-03-14T18:54:56.670943,68096.15094339622,3.790514867419973e-10
1970-03-14T20:45:32.746415,74732.22641509434,8.234207882902068e-10
1970-03-14T23:06:11.236981,83170.71698113208,2.2831784174877527e-10
1970-03-30T00:34:19.201501,2049.811320754717,1.2386246078161611e-08
1970-03-30T12:58:54.522255,46725.1320754717,3.658881040665027e-10
1970-03-30T17:45:22.295840,63912.90566037736,-1.2576453697998568e-10
1970-04-03T10:51:52.350000,39112.0,9.665789354309908e-10
1970-04-03T15:46:37.633019,56797.28301886792,3.142331304642625e-09
